stan,64.700 €,Novi Sad,Gradske lokacije,Detelinara,Nova Detelinara,36m²,,1.5 soba,uknjiženo,centralno grejanje,uobičajeno stanje,2009. godine,2/5 spratova (nije poslednji sprat),ima lift (1),terasa,,,,,,,,,,,,1004645
stan,49.440 €,Novi Sad,Gradske lokacije,Telep,Telep,40m²,,1 soba,,grejanje na struju,uobičajeno stanje,2014. godine,visoko prizemlje,,terasa,,,,,,,,,,,,1004537
stan,52.530 €,Novi Sad,Gradske lokacije,Novo Naselje,Novo Naselje,32m²,,1 soba,uknjiženo,centralno grejanje,uobičajeno stanje,2006. godine,3/5 spratova (nije poslednji sprat),ima lift (1),terasa,,,,,,,,,,,,1003796
stan,36.050 €,Novi Sad,Gradske lokacije,Detelinara,Nova Detelinara,20m²,,0.5 soba,,grejanje na gas,uobičajeno stanje,2003. godine,prizemlje/4 sprata (nije poslednji sprat),,,,,,,,,,,,,,1004699
stan,91.200 €,Beograd,Voždovac opština,Voždovac,VANĐELA TOME,48m²,,2 sobe,nije uknjiženo,etažno grejanje,novo,2021. godine,1/5 spratova (nije poslednji sprat),,terasa,,,,prazno,interfon,,,,,,,2589
stan,79.200 €,Beograd,Zemun opština,Zemun,ŽIVKA PETROVIĆA,44m²,,2 sobe,nije uknjiženo,,novo,2021. godine,3/3 sprata,,terasa,,,,prazno,interfon,,,,,,,2590
stan,86.100 €,Beograd,Voždovac opština,Autokomanda,PREŠERNOVA,42m²,,2 sobe,nije uknjiženo,centralno grejanje,u izgradnji,2021. godine,3/7 spratova (nije poslednji sprat),ima lift (1),terasa,,,,prazno,interfon,,,,,,,2588
stan,69.850 €,Kragujevac,Gradske lokacije,Vašarište,Vašarište,64m²,,2.5 sobe,uknjiženo,grejanje na gas,novo,,2. sprat,,terase (2),,,kupatilo,,,useljivo,,stambeni,,,,8689
stan,117.260 €,Novi Sad,Gradske lokacije,Adamovićevo Naselje,Adamovićevo Naselje,69m²,,3 sobe,,grejanje na gas,,,1/2 sprata (nije poslednji sprat),,terasa,1 parking mesto,,,,,,,,,,,2301
stan,76.700 €,Novi Sad,Gradske lokacije,Petrovaradin,Okrugićeva,59m²,,3 sobe,,centralno grejanje,novo,,1/5 spratova (nije poslednji sprat),ima lift (1),terasa,1 parking mesto,,kupatilo,prazno,"telefon, kablovska, internet, interfon, klima",useljivo,,,,,,2710
stan,74.000 €,Novi Sad,Gradske lokacije,Novo Naselje,Bulevar kneza Miloša,61m²,,2 sobe,uknjiženo,centralno grejanje,uobičajeno stanje,,1/4 sprata (nije poslednji sprat),ima lift (1),terasa,,,kupatilo,prazno,"telefon, kablovska, internet, interfon, klima",,,,,,,3451
stan,120.000 €,Beograd,Voždovac opština,Braće Jerković,Dukatska,73m²,,3 sobe,nije uknjiženo,grejanje na gas,,2010. godine,3/3 sprata,,"podrum, terasa",,,,prazno,"telefon, interfon",,,,,,,6350
stan,130.000 €,Beograd,Rakovica opština,Petlovo Brdo,Rasinska,100m²,,4 sobe,uknjiženo,centralno grejanje,,1984. godine,3/4 sprata (nije poslednji sprat),,"podrum, terasa",,,,prazno,interfon,,,,,,,6349
stan,61.800 €,Novi Sad,Gradske lokacije,Banatić,"ZELEZNICKA STANICA, NOVI SAD",58m²,,2 sobe,uknjiženo,centralno grejanje,,,5/6 spratova (nije poslednji sprat),,terasa,,,,,,useljivo,,,,,,1090710
stan,74.500 €,Kragujevac,Gradske lokacije,Centar,VOJVODE PUTNIKA,62m²,,2.5 sobe,uknjiženo,grejanje na gas,u izgradnji,2021. godine,5/7 spratova (nije poslednji sprat),ima lift (2),"prilaz za invalide, dvorište, terasa","1 parking mesto, u dvorištu zgrade",,"kupatilo, kuhinja, ostava",prazno,"kablovska, internet, 2 interfona, klima",,"jug, ka dvorištu",stambeno-poslovni,,,,000
stan,87.499 €,Novi Sad,Gradske lokacije,Banatić,Železnička stanica,56m²,,2 sobe,uknjiženo,centralno grejanje,uobičajeno stanje,,visoko prizemlje/10 spratova (nije poslednji sprat),ima lift (1),terasa,,,,prazno,"telefon, kablovska, internet",useljivo,,,,,,42707
stan,180.600 €,Beograd,Vračar,Crveni Krst Vračar,Gročanska,86m²,,4 sobe,uknjiženo,centralno grejanje,novo,,1/7 spratova (nije poslednji sprat),ima lift (1),terasa,,1 garažno mesto,,prazno,"telefon, kablovska, internet",useljivo,,,,,,7621
stan,47.520 €,Beograd,Palilula opština,Višnjica,VIšnjička,48m²,,3 sobe,uknjiženo,norveški radijatori,uobičajeno stanje,,3/3 sprata,,terasa,,,,prazno,"kablovska, internet",useljivo,,,,,,7642
stan,101.800 €,Beograd,Palilula opština,Višnjička Banja,Visnjicki venac,84m²,,3 sobe,uknjiženo,centralno grejanje,uobičajeno stanje,,4/4 sprata,,terasa,,,,prazno,"telefon, kablovska, internet",useljivo,,,,,,7644
stan,215.000 €,Beograd,Stari Grad opština,Dorćol,Dorćol,78m²,,3 sobe,uknjiženo,centralno grejanje,novo,,2/6 spratova (nije poslednji sprat),ima lift (1),terasa,,1 garažno mesto,,prazno,,useljivo,,,,,,7681
stan,122.000 €,Beograd,Voždovac opština,Autokomanda,Jove Ilića,49m²,,2 sobe,uknjiženo,etažno grejanje,novo,,5/6 spratova (nije poslednji sprat),ima lift (1),terasa,,,,prazno,"telefon, kablovska, internet",useljivo,,,,,,7698
stan,135.000 €,Beograd,Novi Beograd,Blok 23,Bulevar Milutina Milankovića,59m²,,4 sobe,uknjiženo,centralno grejanje,uobičajeno stanje,,12/12 spratova,ima lift (1),terasa,,,,prazno,"telefon, kablovska, internet",useljivo,,,,,,7711
stan,79.000 €,Beograd,Voždovac opština,Braće Jerković,Vojvode Vlahovića,56m²,,2.5 sobe,uknjiženo,grejanje na gas,,,2/3 sprata (nije poslednji sprat),,terasa,,,,prazno,"kablovska, internet",useljivo,,,,,,16845
stan,55.000 €,Beograd,Vračar,Neimar,Sokolska,32m²,,1 soba,uknjiženo,TA peć,uobičajeno stanje,,suteren/2 sprata (nije poslednji sprat),,,,,,prazno,,useljivo,,,,,,7728
stan,165.000 €,Beograd,Voždovac opština,Voždovac,Kumodraška,78m²,,2.5 sobe,uknjiženo,etažno grejanje,novo,,2/5 spratova (nije poslednji sprat),ima lift (1),terasa,,1 garažno mesto,,prazno,"telefon, kablovska, internet",useljivo,,,,,,7733
stan,85.000 €,Beograd,Stari Grad opština,Dorćol,Cara Dušana,66m²,,2 sobe,uknjiženo,TA peć,uobičajeno stanje,,suteren/4 sprata (nije poslednji sprat),,,,,,polunamešteno,,useljivo,,,,,,7737
stan,155.000 €,Beograd,Zvezdara opština,Lion,Dojranska,76m²,,3 sobe,uknjiženo,etažno grejanje,novo,,1/4 sprata (nije poslednji sprat),,,,,,polunamešteno,"kablovska, internet",useljivo,,,,,,7745
stan,43.500 €,Beograd,Zvezdara opština,Učiteljsko Naselje,Kaluđerica,47m²,,2 sobe,uknjiženo,etažno grejanje,uobičajeno stanje,,prizemlje/3 sprata (nije poslednji sprat),,terasa,,,,prazno,,useljivo,,,,,,7751
stan,137.300 €,Beograd,Zvezdara opština,Olimp,Vjekoslava Kovača,62m²,,2 sobe,uknjiženo,centralno grejanje,renovirano,,7/11 spratova (nije poslednji sprat),ima lift (1),terasa,,,,prazno,"kablovska, internet",useljivo,,,,,,7753
stan,270.000 €,Beograd,Zvezdara opština,Učiteljsko Naselje,Živka Davidovića,144m²,,5 soba,uknjiženo,centralno grejanje,novo,,7/7 spratova,ima lift (1),terasa,,1 garažno mesto,,prazno,,useljivo,,,,,,7756
stan,170.000 €,Beograd,Zvezdara opština,Vukov Spomenik,Mitropolita Mraovića,115m²,,5 soba,uknjiženo,etažno grejanje,renovirano,,1/2 sprata (nije poslednji sprat),,terasa,,,,polunamešteno,"telefon, kablovska, internet",useljivo,,,,,,7759
