cena,povrsina,grejanje,spratnost,infrastruktura,udaljenost_od_centra
49000.0,34.0,etažno grejanje,3,nema,8.707563219770451
60000.0,43.0,etažno grejanje,3,ima,3.9041830435533362
83000.0,61.0,grejanje na struju,prizemlje,ima,8.324047464945231
330000.0,109.0,centralno grejanje,1,ima,2.6809241038138665
139000.0,81.0,grejanje na struju,4,ima,1.6590151136231073
180000.0,83.0,grejanje na struju,3,ima,7.804169995433672
105000.0,48.0,centralno grejanje,1,ima,4.9725156712160326
104000.0,39.0,etažno grejanje,3,ima,3.7912163296572183
150000.0,92.0,grejanje na struju,2,nema,4.3858149752270865
102000.0,56.0,centralno grejanje,6,nema,6.266263209880793
121500.0,45.0,centralno grejanje,1,ima,4.780193666484915
358400.0,128.0,norveški radijatori,2,ima,0.754555467227327
199900.0,100.0,etažno grejanje,3,nema,5.39798006699094
40900.0,50.0,norveški radijatori,prizemlje,ima,9.646633631460832
77000.0,39.0,centralno grejanje,>7,ima,2.4115126846576858
169000.0,70.0,etažno grejanje,2,ima,7.471627532636062
77000.0,40.0,etažno grejanje,3,ima,5.778584399506543
199500.0,95.0,centralno grejanje,6,ima,1.8788327208475573
179280.0,55.0,centralno grejanje,1,ima,3.150991682317825
169500.0,93.0,centralno grejanje,5,ima,2.015341040269244
139000.0,61.0,etažno grejanje,2,ima,7.7467030117958995
69000.0,51.0,centralno grejanje,1,ima,8.379993447979487
126000.0,63.0,centralno grejanje,1,ima,3.598249175501236
212000.0,101.0,centralno grejanje,4,ima,5.572163540931327
75000.0,50.0,centralno grejanje,2,ima,5.757537775658121
110000.0,44.0,centralno grejanje,2,ima,4.291436980957841
125000.0,50.0,centralno grejanje,2,ima,4.291436980957841
82500.0,33.0,grejanje na gas,2,nema,4.291436980957841
297000.0,208.0,centralno grejanje,2,ima,6.066268308456639
91600.0,44.0,centralno grejanje,1,ima,6.703099944683712
114500.0,43.0,grejanje na struju,prizemlje,nema,0.9627456293010735
320000.0,163.0,etažno grejanje,3,ima,3.610898805055149
125000.0,72.0,centralno grejanje,2,ima,2.015341040269244
229900.0,115.0,centralno grejanje,2,ima,6.5979200595553085
259000.0,82.0,centralno grejanje,4,ima,0.18877515186256694
175000.0,56.0,centralno grejanje,3,ima,2.3711633748613967
94000.0,50.0,centralno grejanje,1,ima,4.037884463423132
115000.0,48.0,etažno grejanje,4,ima,3.5333962755164707
195000.0,93.0,etažno grejanje,3,ima,0.9350444016529624
144000.0,69.0,centralno grejanje,1,ima,1.975255650206564
230000.0,59.0,centralno grejanje,2,ima,0.6491339966627081
49000.0,30.0,grejanje na struju,prizemlje,nema,4.0735116550314645
69900.0,60.0,grejanje na gas,prizemlje,nema,2.96723943917451
154900.0,38.0,centralno grejanje,4,nema,4.142521076655837
115900.0,64.0,centralno grejanje,1,nema,5.728089450853503
75000.0,55.0,centralno grejanje,2,ima,5.757537775658121
105000.0,60.0,grejanje na struju,3,ima,3.712343579569145
82500.0,33.0,centralno grejanje,3,nema,4.291436980957841
230000.0,70.0,etažno grejanje,1,nema,1.0980492979087382
250000.0,101.0,centralno grejanje,prizemlje,ima,1.070080551621901
240000.0,110.0,etažno grejanje,1,nema,0.7847696277326253
508000.0,127.0,centralno grejanje,3,ima,0.6491339966627081
240000.0,123.0,centralno grejanje,2,ima,2.0540124333614065
110000.0,46.0,centralno grejanje,1,ima,2.980691180521324
182000.0,70.0,centralno grejanje,2,ima,4.291436980957841
315000.0,90.0,centralno grejanje,1,ima,2.7784614636585467
25000.0,25.0,grejanje na struju,prizemlje,nema,8.870524086067618
299000.0,138.0,grejanje na gas,2,ima,4.291436980957841
650000.0,167.0,centralno grejanje,2,ima,1.0509851349577792
130000.0,64.0,grejanje na struju,2,ima,2.714254305324766
460000.0,130.0,centralno grejanje,prizemlje,ima,2.4067349663380764
97000.0,50.0,etažno grejanje,5,ima,4.140667980210856
165000.0,63.0,grejanje na struju,2,nema,0.4782214245508864
45000.0,35.0,centralno grejanje,suteren,nema,5.74874720005473
160000.0,71.0,centralno grejanje,prizemlje,nema,6.703099944683712
97000.0,54.0,centralno grejanje,1,ima,4.640220947227227
195000.0,87.0,centralno grejanje,1,ima,2.6272298710712385
75000.0,49.0,centralno grejanje,prizemlje,ima,7.339728780020617
65000.0,54.0,grejanje na struju,1,ima,12.17233344752516
180000.0,80.0,centralno grejanje,1,ima,5.5362987541185245
183500.0,74.0,etažno grejanje,3,ima,3.84012031991946
89900.0,50.0,grejanje na struju,prizemlje,nema,0.8559826283749792
155000.0,85.0,centralno grejanje,5,ima,2.725412704784268
80000.0,54.0,etažno grejanje,1,nema,4.3195376976785065
292000.0,135.0,grejanje na struju,1,ima,1.5713930426527032
61500.0,52.0,grejanje na struju,1,ima,12.17233344752516
105000.0,61.0,centralno grejanje,1,ima,5.482195906771167
103000.0,51.0,centralno grejanje,prizemlje,nema,3.479047970110821
99000.0,51.0,grejanje na struju,prizemlje,nema,4.414797131614703
72000.0,42.0,grejanje na struju,prizemlje,ima,7.428473838604468
179000.0,55.0,centralno grejanje,3,ima,2.714254305324766
415000.0,148.0,centralno grejanje,4,ima,3.9162425926504683
200000.0,70.0,etažno grejanje,1,nema,1.0980492979087382
71000.0,54.0,grejanje na struju,6,nema,5.996472446468091
85000.0,51.0,centralno grejanje,3,ima,4.982560616771514
69000.0,50.0,etažno grejanje,prizemlje,nema,3.7997448930988735
299000.0,120.0,etažno grejanje,5,nema,1.2989252689115287
70000.0,42.0,centralno grejanje,1,ima,6.3674731025116245
230000.0,77.0,centralno grejanje,2,ima,3.7640938536955213
115000.0,62.0,grejanje na struju,prizemlje,ima,3.7132365859262073
313000.0,136.0,grejanje na struju,2,ima,0.5908645102328752
155900.0,60.0,grejanje na gas,1,ima,4.402600480001926
445000.0,174.0,centralno grejanje,6,ima,4.2896973851783615
117000.0,57.0,centralno grejanje,7,nema,6.208492228799343
122900.0,67.0,centralno grejanje,4,nema,5.809226980679746
180000.0,123.0,etažno grejanje,1,ima,2.0066040042420195
165000.0,119.0,centralno grejanje,3,ima,11.789013684035847
200000.0,112.0,centralno grejanje,1,ima,3.158271879518493
150000.0,73.0,centralno grejanje,3,ima,2.7784614636585467
65000.0,30.0,grejanje na struju,prizemlje,ima,1.879773134031805
95000.0,53.0,centralno grejanje,prizemlje,nema,1.857818381209793
257000.0,86.0,etažno grejanje,2,ima,0.8691753086155911
130000.0,60.0,grejanje na struju,4,ima,2.346309667241328
46000.0,30.0,grejanje na struju,prizemlje,nema,0.28620330306400016
122000.0,87.0,centralno grejanje,1,ima,7.771163788427273
59500.0,38.0,etažno grejanje,4,ima,6.055042101458558
190000.0,78.0,centralno grejanje,3,ima,2.5013375226004797
99500.0,50.0,grejanje na struju,1,ima,4.130835701254074
190000.0,110.0,etažno grejanje,3,ima,3.7759754581118483
190000.0,90.0,etažno grejanje,3,ima,0.5130494638722838
19900.0,23.0,TA peć,prizemlje,nema,13.78351630253374
289900.0,102.0,centralno grejanje,1,ima,2.774250869507895
275000.0,83.0,centralno grejanje,2,ima,1.293319325211754
270000.0,100.0,centralno grejanje,prizemlje,ima,5.321790501223001
106000.0,37.0,grejanje na struju,2,nema,0.5901342755263618
54000.0,59.0,TA peć,1,nema,5.396460685143921
98000.0,58.0,centralno grejanje,2,nema,4.341494276123049
89500.0,59.0,etažno grejanje,2,ima,5.132286152175055
199000.0,97.0,grejanje na struju,2,ima,1.4606652454625202
68500.0,43.0,centralno grejanje,3,nema,7.1792833136993535
170000.0,80.0,centralno grejanje,7,ima,4.341494276123049
233300.0,101.0,grejanje na gas,4,ima,5.572163540931327
78900.0,35.0,etažno grejanje,3,ima,6.981740222984074
120000.0,41.0,centralno grejanje,1,nema,0.7767002157828758
75000.0,49.0,centralno grejanje,prizemlje,ima,7.339728780020617
600000.0,127.0,centralno grejanje,2,ima,0.6491339966627081
122000.0,62.0,centralno grejanje,1,ima,5.996472446468091
105000.0,42.0,centralno grejanje,1,nema,1.9095079894031264
185000.0,95.0,centralno grejanje,4,ima,4.142521076655837
106000.0,53.0,centralno grejanje,prizemlje,nema,4.499790019201623
200000.0,111.0,centralno grejanje,3,ima,6.116095257592906
